Time,Distance_L,Distance_R
0.279,484.0,485.0
0.405,482.0,485.0
0.494,482.0,479.0
0.583,473.0,479.0
0.675,473.0,479.0
0.794,458.0,467.0
0.885,458.0,449.0
0.973,458.0,449.0
1.063,438.0,449.0
1.151,438.0,427.0
1.241,414.0,427.0
1.338,414.0,400.0
1.426,291.0,400.0
1.517,291.0,371.0
1.607,353.0,371.0
1.702,353.0,337.0
1.794,318.0,337.0
1.884,318.0,301.0
1.972,318.0,301.0
2.062,280.0,301.0
2.154,280.0,263.0
2.242,242.0,263.0
2.332,242.0,223.0
2.421,200.0,223.0
2.509,200.0,181.0
2.597,157.0,181.0
3.126,65.0,45.0
3.217,27.0,45.0
3.306,27.0,23.0
3.394,19.0,23.0
3.484,19.0,18.0
3.579,16.0,18.0
3.668,16.0,18.0
3.757,16.0,17.0
3.846,16.0,17.0
3.935,16.0,17.0
4.023,16.0,17.0
4.112,16.0,17.0
4.235,16.0,17.0
4.324,16.0,17.0
4.414,16.0,17.0
4.502,16.0,17.0
4.591,16.0,17.0
4.681,16.0,17.0
4.77,16.0,17.0
4.862,17.0,17.0
4.95,17.0,17.0
5.039,16.0,17.0
5.131,16.0,17.0
5.22,17.0,17.0
5.311,17.0,18.0
5.385,17.0,18.0
5.513,17.0,17.0
5.601,17.0,17.0
5.693,17.0,18.0
5.782,17.0,18.0
5.87,17.0,18.0
5.96,17.0,18.0
