Time,Distance_L,Distance_R
0.276,485.0,484.0
0.364,485.0,484.0
0.454,484.0,484.0
0.543,484.0,480.0
0.635,478.0,480.0
0.723,478.0,471.0
0.814,466.0,471.0
0.901,466.0,457.0
0.99,451.0,457.0
1.083,451.0,441.0
1.172,432.0,441.0
1.263,432.0,441.0
1.354,432.0,421.0
1.444,411.0,421.0
1.534,411.0,399.0
1.624,291.0,399.0
1.731,291.0,373.0
1.825,359.0,373.0
1.914,359.0,345.0
2.002,331.0,345.0
2.094,331.0,316.0
2.184,301.0,316.0
2.273,301.0,285.0
2.361,301.0,285.0
2.452,269.0,285.0
2.542,269.0,251.0
2.63,235.0,251.0
2.722,235.0,217.0
2.811,201.0,217.0
2.902,201.0,183.0
3.012,165.0,183.0
3.544,89.0,70.0
3.642,55.0,70.0
3.73,55.0,47.0
3.82,44.0,47.0
3.91,44.0,43.0
3.999,43.0,43.0
4.089,43.0,42.0
4.178,43.0,42.0
4.296,43.0,43.0
4.384,44.0,43.0
4.475,44.0,43.0
4.564,44.0,43.0
4.659,44.0,43.0
4.748,44.0,43.0
4.837,44.0,43.0
4.925,44.0,43.0
5.015,44.0,43.0
5.103,44.0,43.0
5.193,44.0,43.0
5.282,44.0,43.0
5.389,44.0,43.0
5.478,44.0,43.0
5.58,44.0,43.0
5.669,44.0,43.0
5.758,44.0,43.0
5.847,44.0,43.0
5.935,44.0,43.0
