Time,Distance_L,Distance_R
0.439,449.0,450.0
0.581,449.0,445.0
0.727,442.0,445.0
0.909,431.0,436.0
1.055,415.0,422.0
1.198,415.0,406.0
1.331,289.0,406.0
1.473,375.0,294.0
1.616,375.0,367.0
1.761,353.0,343.0
1.902,329.0,343.0
2.048,304.0,319.0
2.22,304.0,291.0
2.361,276.0,263.0
2.503,246.0,263.0
2.645,217.0,233.0
2.817,217.0,204.0
2.958,186.0,172.0
3.11,153.0,172.0
3.691,52.0,71.0
3.837,33.0,42.0
3.981,33.0,34.0
4.123,32.0,34.0
4.266,31.0,33.0
4.411,31.0,34.0
4.553,32.0,33.0
4.734,32.0,33.0
4.875,32.0,33.0
5.017,32.0,33.0
5.158,32.0,34.0
5.299,32.0,34.0
5.445,33.0,33.0
5.6,33.0,33.0
5.742,32.0,34.0
5.885,33.0,34.0
6.057,32.0,33.0
6.198,32.0,34.0
6.341,33.0,33.0
6.486,32.0,33.0
6.652,33.0,34.0
6.801,33.0,33.0
6.942,32.0,34.0
7.085,33.0,34.0
7.229,33.0,33.0
7.375,32.0,33.0
7.518,33.0,33.0
7.659,32.0,34.0
7.802,32.0,33.0
7.953,33.0,34.0
