Time,Distance_L,Distance_R
0.29,334.0,484.0
0.379,334.0,483.0
0.47,333.0,483.0
0.56,333.0,479.0
0.65,475.0,479.0
0.739,475.0,470.0
0.829,465.0,470.0
0.923,465.0,458.0
1.011,451.0,458.0
1.104,451.0,458.0
1.192,451.0,442.0
1.281,435.0,442.0
1.374,435.0,425.0
1.468,415.0,425.0
1.574,415.0,404.0
1.663,393.0,404.0
1.755,393.0,382.0
1.846,369.0,382.0
1.941,369.0,303.0
2.03,343.0,303.0
2.119,343.0,331.0
2.21,316.0,331.0
2.3,316.0,331.0
2.39,316.0,303.0
2.478,288.0,303.0
2.572,288.0,274.0
2.661,258.0,274.0
2.75,258.0,244.0
2.855,227.0,244.0
2.944,227.0,213.0
3.033,195.0,213.0
3.125,195.0,180.0
3.215,162.0,180.0
3.305,162.0,180.0
3.834,61.0,78.0
3.925,61.0,53.0
4.014,47.0,53.0
4.132,47.0,47.0
4.221,47.0,47.0
4.31,47.0,48.0
4.401,47.0,48.0
4.491,47.0,48.0
4.584,47.0,48.0
4.673,46.0,48.0
4.762,46.0,48.0
4.853,46.0,48.0
4.942,46.0,48.0
5.031,47.0,48.0
5.119,47.0,48.0
5.208,46.0,48.0
5.296,46.0,48.0
5.415,47.0,48.0
5.511,47.0,48.0
5.6,47.0,48.0
5.691,46.0,48.0
5.779,46.0,48.0
5.868,47.0,48.0
5.958,47.0,48.0
