Time,Distance_L,Distance_R
0.308,485.0,485.0
0.396,485.0,485.0
0.488,485.0,482.0
0.577,479.0,482.0
0.67,479.0,472.0
0.76,466.0,472.0
0.847,466.0,457.0
0.938,449.0,457.0
1.027,449.0,438.0
1.124,449.0,438.0
1.211,428.0,438.0
1.299,428.0,415.0
1.382,401.0,415.0
1.498,401.0,388.0
1.587,278.0,388.0
1.676,278.0,357.0
1.764,342.0,357.0
1.853,342.0,324.0
1.942,308.0,324.0
2.032,308.0,289.0
2.125,308.0,289.0
2.214,271.0,289.0
2.303,271.0,252.0
2.392,232.0,252.0
2.483,232.0,213.0
2.572,193.0,213.0
2.663,193.0,172.0
2.782,151.0,172.0
3.312,62.0,40.0
3.409,23.0,40.0
3.498,23.0,17.0
3.586,16.0,17.0
3.674,16.0,24.0
3.763,16.0,24.0
3.852,16.0,17.0
3.941,16.0,17.0
4.057,16.0,16.0
4.153,16.0,16.0
4.241,16.0,16.0
4.333,25.0,16.0
4.422,25.0,16.0
4.512,25.0,16.0
4.601,16.0,16.0
4.686,16.0,16.0
4.774,16.0,16.0
4.878,16.0,20.0
4.969,16.0,20.0
5.058,16.0,16.0
5.15,16.0,16.0
5.238,16.0,16.0
5.325,16.0,16.0
5.418,16.0,16.0
5.506,16.0,16.0
5.598,16.0,16.0
5.686,16.0,24.0
5.776,25.0,24.0
5.865,25.0,24.0
5.965,25.0,24.0
