Time,Distance_L,Distance_R
0.314,486.0,485.0
0.402,486.0,485.0
0.491,486.0,483.0
0.58,481.0,483.0
0.669,481.0,475.0
0.759,470.0,475.0
0.848,470.0,462.0
0.955,455.0,462.0
1.046,455.0,444.0
1.135,437.0,444.0
1.225,437.0,424.0
1.317,437.0,424.0
1.409,414.0,424.0
1.498,414.0,400.0
1.607,295.0,400.0
1.729,360.0,376.0
1.819,360.0,376.0
1.91,360.0,287.0
2.004,328.0,287.0
2.093,328.0,312.0
2.205,296.0,312.0
2.295,296.0,279.0
2.384,262.0,279.0
2.473,262.0,244.0
2.565,226.0,244.0
2.657,226.0,207.0
2.746,188.0,207.0
2.859,188.0,169.0
2.979,150.0,169.0
3.508,68.0,47.0
3.599,30.0,47.0
3.687,30.0,22.0
3.776,19.0,22.0
3.864,19.0,18.0
3.953,18.0,18.0
4.041,18.0,18.0
4.17,19.0,18.0
4.258,19.0,17.0
4.348,18.0,17.0
4.437,18.0,17.0
4.525,18.0,17.0
4.614,18.0,17.0
4.703,18.0,17.0
4.794,18.0,17.0
4.882,18.0,17.0
4.973,18.0,17.0
5.061,18.0,17.0
5.153,18.0,17.0
5.242,18.0,17.0
5.33,18.0,17.0
5.431,18.0,17.0
5.52,18.0,17.0
5.64,18.0,17.0
5.729,18.0,17.0
5.818,18.0,17.0
5.906,18.0,17.0
5.995,18.0,17.0
