Time,Distance_L,Distance_R
0.282,487.0,487.0
0.375,487.0,487.0
0.464,483.0,487.0
0.553,483.0,479.0
0.649,472.0,479.0
0.737,472.0,479.0
0.826,472.0,463.0
0.915,454.0,463.0
1.005,454.0,444.0
1.125,432.0,444.0
1.213,432.0,419.0
1.303,311.0,419.0
1.391,311.0,390.0
1.484,374.0,390.0
1.613,374.0,357.0
1.702,339.0,357.0
1.791,339.0,322.0
1.881,302.0,322.0
1.97,302.0,283.0
2.059,263.0,283.0
2.151,263.0,242.0
2.245,263.0,242.0
2.334,220.0,242.0
2.425,220.0,199.0
2.514,177.0,199.0
2.604,177.0,154.0
3.132,33.0,58.0
3.224,33.0,17.0
3.312,20.0,17.0
3.401,20.0,18.0
3.49,15.0,18.0
3.579,15.0,18.0
3.67,20.0,18.0
3.759,20.0,22.0
3.847,22.0,22.0
3.936,22.0,22.0
4.056,23.0,24.0
4.182,23.0,23.0
4.272,23.0,23.0
4.362,23.0,23.0
4.451,22.0,23.0
4.539,22.0,23.0
4.628,22.0,23.0
4.716,22.0,23.0
4.818,22.0,22.0
4.919,23.0,22.0
5.008,23.0,22.0
5.096,23.0,22.0
5.186,23.0,22.0
5.275,23.0,22.0
5.364,23.0,22.0
5.499,23.0,22.0
5.587,23.0,22.0
5.676,23.0,22.0
5.768,23.0,22.0
5.861,23.0,22.0
5.951,23.0,23.0
