Time,Distance_L,Distance_R
0.437,483.0,403.0
0.578,476.0,480.0
0.724,476.0,388.0
0.885,465.0,374.0
1.028,448.0,374.0
1.169,448.0,439.0
1.311,430.0,417.0
1.445,403.0,417.0
1.589,283.0,394.0
1.731,283.0,275.0
1.875,349.0,336.0
2.02,318.0,336.0
2.167,318.0,304.0
2.308,284.0,270.0
2.449,249.0,270.0
2.591,214.0,235.0
2.734,214.0,199.0
2.878,176.0,161.0
3.46,56.0,82.0
3.607,32.0,45.0
3.752,32.0,31.0
3.895,27.0,29.0
4.046,26.0,29.0
4.188,25.0,29.0
4.329,25.0,29.0
4.472,27.0,29.0
4.613,27.0,29.0
4.755,27.0,29.0
4.897,26.0,29.0
5.04,26.0,29.0
5.182,26.0,29.0
5.33,26.0,29.0
5.467,26.0,29.0
5.609,26.0,29.0
5.752,26.0,29.0
5.894,26.0,29.0
6.037,26.0,29.0
6.179,26.0,29.0
6.32,26.0,29.0
6.47,26.0,29.0
6.632,26.0,29.0
6.774,26.0,29.0
6.916,26.0,29.0
7.057,26.0,29.0
7.201,26.0,29.0
7.343,26.0,29.0
7.486,26.0,29.0
7.627,26.0,29.0
7.8,26.0,29.0
7.943,26.0,29.0
