Time,Distance_L,Distance_R
0.483,331.0,484.0
0.625,331.0,476.0
0.768,470.0,462.0
0.941,453.0,462.0
1.107,430.0,443.0
1.257,401.0,417.0
1.399,401.0,387.0
1.545,370.0,355.0
1.691,335.0,355.0
1.835,297.0,319.0
1.978,297.0,280.0
2.123,258.0,280.0
2.266,215.0,239.0
2.426,215.0,196.0
2.568,171.0,151.0
3.149,26.0,16.0
3.295,17.0,16.0
3.436,17.0,29.0
3.582,17.0,21.0
3.725,23.0,21.0
3.868,30.0,26.0
4.01,30.0,32.0
4.152,34.0,34.0
4.325,35.0,34.0
4.471,34.0,33.0
4.613,34.0,32.0
4.756,34.0,32.0
4.899,33.0,32.0
5.048,33.0,32.0
5.19,33.0,33.0
5.335,33.0,33.0
5.476,34.0,33.0
5.62,34.0,33.0
5.763,33.0,33.0
5.905,34.0,33.0
