Time,Distance_L,Distance_R
0.279,335.0,482.0
0.368,334.0,482.0
0.456,334.0,479.0
0.55,477.0,479.0
0.674,477.0,472.0
0.767,468.0,472.0
0.855,468.0,461.0
0.947,468.0,461.0
1.037,455.0,461.0
1.128,455.0,447.0
1.218,440.0,447.0
1.309,440.0,431.0
1.402,423.0,431.0
1.493,423.0,397.0
1.581,406.0,397.0
1.677,406.0,391.0
1.767,380.0,391.0
1.857,380.0,369.0
1.946,356.0,369.0
2.036,356.0,369.0
2.127,356.0,345.0
2.216,332.0,345.0
2.303,332.0,319.0
2.392,305.0,319.0
2.539,305.0,293.0
2.627,278.0,293.0
2.719,278.0,265.0
2.807,249.0,265.0
2.897,249.0,236.0
2.985,220.0,236.0
3.075,220.0,206.0
3.194,190.0,206.0
3.283,190.0,175.0
3.372,158.0,175.0
3.899,93.0,80.0
3.99,68.0,80.0
4.08,68.0,64.0
4.168,63.0,64.0
4.257,63.0,65.0
4.346,63.0,65.0
4.473,65.0,65.0
4.563,64.0,65.0
4.651,64.0,65.0
4.743,64.0,65.0
4.832,64.0,65.0
4.921,64.0,65.0
5.013,64.0,65.0
5.106,64.0,65.0
5.195,64.0,65.0
5.304,64.0,65.0
5.393,64.0,65.0
5.499,64.0,65.0
5.59,64.0,65.0
5.682,64.0,65.0
5.82,64.0,65.0
5.909,64.0,65.0
5.997,64.0,65.0
