Time,Distance_L,Distance_R
0.177,332.0,482.0
0.236,331.0,482.0
0.302,331.0,482.0
0.37,331.0,482.0
0.429,329.0,482.0
0.512,329.0,482.0
0.572,329.0,476.0
0.635,320.0,476.0
0.698,320.0,476.0
0.76,320.0,463.0
0.819,320.0,463.0
0.879,305.0,463.0
0.937,305.0,445.0
0.997,305.0,445.0
1.056,434.0,445.0
1.142,434.0,422.0
1.201,434.0,422.0
1.264,409.0,422.0
1.323,409.0,422.0
1.395,409.0,396.0
1.454,383.0,396.0
1.512,383.0,396.0
1.571,383.0,364.0
1.632,347.0,364.0
1.69,347.0,364.0
1.788,347.0,331.0
1.847,313.0,331.0
1.906,313.0,331.0
1.967,313.0,294.0
2.028,275.0,294.0
2.091,275.0,294.0
2.149,275.0,257.0
2.207,275.0,257.0
2.266,235.0,257.0
2.326,235.0,216.0
2.386,235.0,216.0
2.457,194.0,216.0
2.515,194.0,216.0
2.575,194.0,174.0
2.638,150.0,174.0
2.697,150.0,174.0
3.197,58.0,38.0
3.262,21.0,38.0
3.321,21.0,38.0
3.38,21.0,18.0
3.441,18.0,18.0
3.532,18.0,19.0
3.59,18.0,19.0
3.65,29.0,19.0
3.733,29.0,16.0
3.793,29.0,16.0
3.852,17.0,16.0
3.913,17.0,16.0
3.971,17.0,15.0
4.03,18.0,15.0
4.092,18.0,15.0
4.151,18.0,15.0
4.21,18.0,15.0
4.269,15.0,15.0
4.352,15.0,16.0
4.412,15.0,16.0
4.471,18.0,16.0
4.532,18.0,16.0
4.591,18.0,16.0
4.652,18.0,16.0
4.714,18.0,16.0
4.773,18.0,16.0
4.831,15.0,16.0
4.888,15.0,16.0
4.977,15.0,16.0
5.038,17.0,16.0
5.096,17.0,16.0
5.155,17.0,16.0
5.217,17.0,16.0
5.276,18.0,16.0
5.335,18.0,16.0
5.395,18.0,16.0
5.457,18.0,16.0
5.516,18.0,16.0
5.575,18.0,16.0
5.668,18.0,16.0
5.726,18.0,16.0
5.784,18.0,16.0
5.847,18.0,16.0
5.906,18.0,16.0
5.965,18.0,16.0
