Time,Distance_L,Distance_R
0.275,333.0,483.0
0.366,332.0,483.0
0.476,332.0,477.0
0.567,332.0,477.0
0.66,325.0,477.0
0.749,325.0,466.0
0.839,459.0,466.0
0.929,459.0,448.0
1.021,293.0,448.0
1.13,293.0,426.0
1.224,414.0,426.0
1.314,414.0,400.0
1.403,389.0,400.0
1.492,389.0,370.0
1.58,354.0,370.0
1.672,354.0,370.0
1.764,354.0,337.0
1.852,319.0,337.0
1.941,319.0,302.0
2.032,283.0,302.0
2.122,283.0,263.0
2.211,243.0,263.0
2.301,243.0,223.0
2.411,202.0,223.0
2.499,202.0,182.0
2.588,159.0,182.0
3.122,68.0,48.0
3.217,31.0,48.0
3.306,31.0,25.0
3.396,21.0,25.0
3.486,21.0,21.0
3.581,19.0,21.0
3.689,19.0,19.0
3.778,18.0,19.0
3.867,18.0,19.0
3.955,18.0,19.0
4.044,20.0,19.0
4.134,20.0,20.0
4.221,20.0,20.0
4.313,20.0,20.0
4.401,19.0,20.0
4.49,19.0,19.0
4.578,19.0,19.0
4.667,19.0,19.0
4.758,19.0,20.0
4.847,19.0,20.0
4.968,19.0,20.0
5.057,19.0,20.0
5.145,19.0,20.0
5.237,19.0,20.0
5.325,19.0,20.0
5.44,19.0,20.0
5.529,19.0,20.0
5.622,19.0,20.0
5.712,19.0,20.0
5.8,19.0,20.0
5.893,19.0,20.0
5.981,19.0,20.0
