Time,Distance_L,Distance_R
0.43,334.0,485.0
0.572,477.0,481.0
0.715,477.0,472.0
0.857,466.0,472.0
1.038,452.0,459.0
1.18,433.0,313.0
1.326,433.0,292.0
1.469,409.0,270.0
1.617,385.0,270.0
1.76,385.0,374.0
1.901,358.0,347.0
2.043,330.0,347.0
2.185,300.0,317.0
2.356,300.0,286.0
2.498,268.0,253.0
2.641,233.0,253.0
2.784,199.0,220.0
2.925,199.0,184.0
3.509,88.0,75.0
3.661,59.0,75.0
3.805,51.0,56.0
3.946,51.0,55.0
4.088,51.0,54.0
4.236,51.0,54.0
4.378,52.0,56.0
4.52,52.0,55.0
4.663,51.0,55.0
4.805,51.0,55.0
4.948,51.0,55.0
5.091,51.0,55.0
5.233,51.0,55.0
5.374,51.0,55.0
5.514,51.0,55.0
5.656,51.0,55.0
5.8,51.0,55.0
5.942,51.0,55.0
6.088,51.0,55.0
6.23,51.0,55.0
6.373,51.0,55.0
6.515,51.0,55.0
6.659,51.0,55.0
6.826,51.0,55.0
6.968,51.0,55.0
7.112,51.0,55.0
7.254,51.0,55.0
7.434,51.0,55.0
7.578,51.0,55.0
7.72,51.0,55.0
7.861,51.0,55.0
